pic1,pic2
anvil,cigar
apricot,golfball
apricot,mailbox
artichoke,clarinet
avocado,cucumber
avocado,pumpkin
banana,elephant
baseballmitt,santahat
baseballmitt,watermelonslice
basketball,blueberries
basketball,crocodile
basketball,egg
bear,football
binoculars,lime
bison,grapefruithalves
blueberries,iguana
blueberries,tophat
bulldozer,pinkflamingo
camera,penguin
camera,record
cardinal,celery
cardinal,zucchini
carrot,grapefruithalves
carrot,schoolbus
carrot,trumpet
cauliflower,garlic
cauliflower,handicappedparking
cauliflower,television
celery,chick
celery,rubberducky
celery,santahat
cherries,football
cherries,greenbeans
cherries,smokedetector
cherries,trafficcone
chick,greenbeans
chick,mailbox
chinesefoodcarton,garlic
cigar,noentrysign
cigar,pumpkin
cigar,trumpet
clarinet,egg
coconut,crosswalksign
coconut,tophat
corncob,pumpkin
corncob,stocking
corncob,tomato
crocodile,toilet
crocodile,violin
cucumber,grapefruithalves
cucumber,wholewatermelon
egg,strawberry
eggplant,schoolbus
eggplant,wholewatermelon
elephant,firehydrant
elephant,polarbear
elephant,raspberry
firemanhat,moviecamera
firemanhat,sideroadsign
firemanhat,wreath
firetruck,golfball
firetruck,sideroadsign
firetruck,toilet
firetruck,tooth
football,sheep
fox,tiger
fox,watermelonslice
frog,lime
frog,rubberducky
frog,turtle
garlic,trafficcone
golfball,tomato
grapefruithalves,penguin
grapefruithalves,turtle
grapefruithalves,walkietalkie
greekcolumn,ketchup
greekcolumn,tomato
greekcolumn,tophat
greekcolumn,watermelonslice
greenbeans,speaker
handicappedparking,moviecamera
hockeypuck,rhinoceros
hockeypuck,tire
hotdog,peapod
hotdog,tomato
hotdog,wreath
iguana,kiwihalf
ketchup,speaker
kiwihalf,watermelonslice
kiwihalf,weddingcake
lemon,lion
lime,raspberry
lion,smokedetector
lion,wholewatermelon
lobster,rubberducky
moviecamera,wholewatermelon
penguin,toilet
penguin,tophat
penguin,walkietalkie
piano,speaker
pinkflamingo,rubberducky
polarbear,snowflake
potato,tooth
pumpkin,speaker
pumpkin,turtle
record,trumpet
rhinoceros,schoolbus
rubberducky,walkietalkie
santahat,snowflake
schoolbus,wholewatermelon
schoolbus,wreath
sideroadsign,snowflake
sideroadsign,zucchini
snowflake,stocking
snowflake,weddingcake
strawberry,swan
television,tennisball
tiger,watermelonslice
tophat,weddingcake
trumpet,wholewatermelon
