pic1,pic2
anvil,eggplant
anvil,smokedetector
apricot,banana
apricot,chinesefoodcarton
apricot,tomato
artichoke,tomato
avocado,walkietalkie
baseball,elephant
baseballmitt,corncob
baseballmitt,weddingcake
basketball,coconut
basketball,lobster
basketball,santahat
basketball,wholewatermelon
bear,elephant
bear,iguana
bear,piano
bear,raspberry
bear,sideroadsign
binoculars,fox
bison,cigar
bison,cucumber
bison,zucchini
blueberries,cucumber
broccoli,pinkflamingo
broccoli,santahat
broccoli,trafficcone
broccoli,zucchini
camera,ketchup
camera,potato
cardinal,grapefruithalves
carrot,eggplant
carrot,football
carrot,pickle
cauliflower,frog
cauliflower,piano
cauliflower,watermelonslice
celery,moviecamera
celery,tennisball
celery,trumpet
celery,walkietalkie
cherries,santahat
chick,greekcolumn
chick,watermelonslice
chinesefoodcarton,elephant
chinesefoodcarton,potato
chinesefoodcarton,walkietalkie
cigar,handicappedparking
cigar,tennisball
clarinet,greekcolumn
clarinet,stocking
corncob,garlic
corncob,peapod
corncob,walkietalkie
crocodile,speaker
crosswalksign,smokedetector
crosswalksign,tooth
cucumber,hockeypuck
cucumber,noentrysign
driedcorn,swan
egg,firemanhat
eggplant,piano
eggplant,tomato
elephant,handicappedparking
elephant,trafficcone
elephant,violin
firehydrant,sheep
firemanhat,lobster
firetruck,football
firetruck,lemon
football,hotdog
football,lime
football,lobster
garlic,kiwihalf
golfball,television
grapefruithalves,speaker
grapefruithalves,trumpet
grapefruithalves,walkietalkie
greekcolumn,polarbear
greekcolumn,wreath
greenbeans,strawberry
hockeypuck,rhinoceros
hotdog,tank
hotdog,turtle
iguana,pickle
ketchup,stocking
kiwihalf,sideroadsign
kiwihalf,wreath
lemon,mailbox
lemon,moviecamera
lemon,rubberducky
lemon,wholewatermelon
lime,turtle
lime,washingmachine
lion,rubberducky
lobster,swan
mailbox,rhinoceros
moviecamera,santahat
moviecamera,turtle
orange,piano
orange,washingmachine
peapod,tank
piano,rubberducky
piano,strawberry
piano,watermelonslice
pickle,tophat
raspberry,smokedetector
raspberry,tophat
rhinoceros,strawberry
rhinoceros,tiger
rubberducky,snowflake
santahat,tennisball
santahat,tophat
schoolbus,washingmachine
schoolbus,zucchini
sheep,smokedetector
stocking,toilet
stocking,watermelonslice
tomato,turtle
trumpet,violin
