pic1,pic2
anvil,artichoke
anvil,baseball
anvil,golfball
anvil,sheep
anvil,tophat
apricot,baseballmitt
apricot,corncob
apricot,eggplant
apricot,hotdog
apricot,speaker
apricot,stocking
apricot,trafficcone
artichoke,lemon
artichoke,pickle
avocado,hockeypuck
avocado,turtle
banana,binoculars
banana,corncob
banana,peapod
banana,schoolbus
banana,strawberry
baseball,mailbox
baseball,television
baseballmitt,raspberry
baseballmitt,tennisball
basketball,bulldozer
bear,cardinal
bear,greenbeans
binoculars,camera
binoculars,cardinal
binoculars,coconut
bison,camera
bison,chinesefoodcarton
blueberries,crosswalksign
blueberries,lemon
broccoli,fireextinguisher
broccoli,grapefruithalves
broccoli,iguana
broccoli,smokedetector
bulldozer,iguana
cactus,football
camera,football
camera,polarbear
camera,schoolbus
cardinal,grapefruithalves
cardinal,tomato
carrot,lobster
cauliflower,fox
cherries,hockeypuck
cherries,stocking
cherries,trumpet
chick,raspberry
chick,stocking
chick,tophat
chinesefoodcarton,firemanhat
chinesefoodcarton,potato
cigar,lion
clarinet,ketchup
clarinet,pinkflamingo
coconut,potato
corncob,wholewatermelon
crocodile,firehydrant
crocodile,peapod
crocodile,strawberry
crosswalksign,kiwihalf
cucumber,fireextinguisher
cucumber,lime
cucumber,tank
egg,grapefruithalves
egg,swan
eggplant,grapefruithalves
eggplant,pumpkin
eggplant,swan
firemanhat,tiger
football,smokedetector
frog,lobster
garlic,swan
garlic,watermelonslice
golfball,rhinoceros
grapefruithalves,peapod
grapefruithalves,tire
greekcolumn,orange
greekcolumn,record
handicappedparking,schoolbus
handicappedparking,trumpet
hockeypuck,stocking
hotdog,kiwihalf
hotdog,santahat
hotdog,stocking
hotdog,tophat
iguana,television
lemon,pinkflamingo
lime,raspberry
lion,sideroadsign
lobster,record
mailbox,noentrysign
mailbox,pinkflamingo
moviecamera,noentrysign
moviecamera,violin
moviecamera,wholewatermelon
noentrysign,trafficcone
peapod,tophat
peapod,turtle
penguin,zucchini
piano,polarbear
pickle,snowflake
pinkflamingo,tiger
polarbear,rhinoceros
potato,sheep
potato,strawberry
pumpkin,tennisball
record,snowflake
record,tank
record,tomato
rubberducky,trafficcone
speaker,turtle
speaker,walkietalkie
television,turtle
toilet,trumpet
tophat,violin
